Sentence,Target Gold,Extracted Target,Correct Target,Extracted Opinion,Note,Problem Cat.,POS,DEP
'Pull it back in if you think different.' ,you ,['NA'],['no'],['NA'],,,,
'Sorry I guess I am against 'never computing this shit'... because you guys think returning NaN is ok.' ,you guys,"['NaN', 'I']","['no', 'no']",['NA'],,,,
'I do not have to ensure that the classloader knows groovy classes you must do that.' ,you,['NA'],['no'],['NA'],,,,
'Maybe only one of us should play lawyer and the other one play engineer.' ,you (implicit) one of us,['engineer'],['no'],['other'],,,,
'Also your username was stupidly named and confusing so I deleted it and created a new one more appropriate.' ,you (implicit) ,['I'],['no'],['NA'],,,,
'fuck u' ,you (u),['NA'],['no'],['NA'],,,,
'damn this was assigned to you since months.' ,you,['months'],['no'],['NA'],,,,
'Where on earth are you anyway?' ,you,['NA'],['no'],['NA'],,,,
'Who made this stupid rule?' ,who,"['rule', 'Who']","['no', 'si']",['stupid'],,,,
'who the hell starts using our jira for typing lessons ?!?' ,who,['NA'],['no'],['NA'],,,,
'Just to clarify... you made the DTPE handle exceptions the same way as CassandraDaemon by updating it to use NBHS instead of CSLS... Did you just tell me to go fuck myself?' ,you you,['you'],['si'],['NA'],,,,
'They do not vote theywhine that something or everything sucks.' ,they,['NA'],['no'],['NA'],,,,
'Oleg please accept that my 'logical' is different from your 'logical'.' ,you,['NA'],['no'],['NA'],,,,
'What the hell are you waiting for ?' ,you,['you'],['si'],['NA'],,,,
'Unfortunately in these days where everyone that can put a CDthe right way up in a drive is a Linux/Unix/Windows/Internet Expert this has become pretty common.' ,everyone,"['days', 'way', 'everyone', 'Windows', 'Unix', 'Internet', 'Linux']","['no', 'no', 'si', 'no', 'no', 'no', 'no']",['right'],,,,
'Why the hell do they deliver Duration if they cannot instantiate it -/' ,they,"['hell', 'they']","['no', 'si']",['NA'],,,,
'Then you are pretty well screwed.' ,you,['NA'],['no'],['NA'],,,,
'But please do not say that my reasoning is bad because it is not.' ,you,['NA'],['no'],['NA'],,,,
'Then to make matters worse since the mid-1990 is I have been offering pro bono advice to non-profit foundations whose members insult me regularly and assume I am an amateur. ',generic you,"['foundations', 'mid-1990']","['no', 'no']",['non-profit'],,,,
'You are messing down deep below hbase in dfs.' ,you,['NA'],['no'],['NA'],,,,
'who the fuck is asking for scores but not the max score and why does their insanely specialized use case justify all these booleans on a central lucene class.' ,who,['NA'],['no'],['NA'],,,,
'Someone but I am not sure who owes me a public apology here. /Larry ' ,someone,"['apology', 'Someone', 'who']","['no', 'si', 'no']",['public'],,,,
'Do nothing Are you serious about that?' ,you,['nothing'],['no'],['NA'],,,,
'I should have been very careful before doing this.' ,I,['NA'],['no'],['NA'],,,,
'I have stupidly deleted the original test dir but judging from the suite is output files no output was created after 3 1/2 hours.',I,['I'],['si'],['NA'],,,,
'Matt... I am an idiot I used the wrong patch. Sigh.' ,I,"['patch', 'idiot', 'Matt', 'I']","['no', 'no', 'no', 'si']",['wrong'],,,,
'Please close as this is just me being stupid.' ,I,['NA'],['no'],['NA'],,,,
'I am an idiot.' ,I ,['NA'],['no'],['NA'],,,,
'I am an idiot... there is nothing wrong with the readme.txt.' ,I ,['nothing'],['no'],['wrong'],,,,
'Ok here is a patch that works. I was stupid enough not to see it...' ,I ,['patch'],['no'],['NA'],,,,
'i suck.' ,I ,['NA'],['no'],['NA'],,,,
'Shit I missed a cast.' ,I ,"['Shit', 'I']","['no', 'si']",['NA'],,,,
'What a stupid name I chose for that object... -' ,I ,"['name', 'I']","['no', 'si']",['stupid'],,,,
'I am an idiot this was a dupe of GUVNOR-84',I ,['NA'],['no'],['NA'],,,,
'oh ...geez I am an idiot.' ,I ,['NA'],['no'],['NA'],,,,
'I did it wrong this time.' ,I ,['NA'],['no'],['NA'],,,,
'Oh my stupid' ,me,['NA'],['no'],['NA'],,,,
'Am I doing something stupid here?' ,I ,"['something', 'I']","['no', 'si']",['stupid'],,,,
'Aaarrggh how stupid of mine to have a System.out again!' ,me,['NA'],['no'],['NA'],,,,
'Damn I forgot.' ,I ,['NA'],['no'],['NA'],,,,
'This was a very bad bug introduced by me being an idiot.' ,me,['bug'],['no'],['bad'],,,,
'Crap forgot to verify that this is inconsistant with MRI it is not.' ,I ,['NA'],['no'],['NA'],,,,
'Swear to god I am not a total idiot.' ,I ,['idiot'],['no'],['total'],,,,
'Idiot Yeah I was on that idiot-path for a good while but commons-lang is a hairball at least where this hashcode making and equals is concerned.' ,Idiot-path,"['while', 'Idiot', 'hairball']","['no', 'no', 'no']",['good'],,,,
'I did not know we needed to retain backwards config capability across 3.x to 4.x That sucks and it will make old code stick around longer.',That,"['stick', 'capability', 'it']","['no', 'no', 'no']",['old'],,,,
'Filling diags.log is bad mojo since it is never rotated.' ,digas.log,"['diags.log', 'mojo']","['no', 'no']",['bad'],,,,
'I wholeheartedly agree this API is confusing as hell.' ,API,['I'],['si'],['NA'],,,,
'Hmm that sucks.' ,that,['NA'],['no'],['NA'],,,,
'This looks reasonable to me... sucks we have to special case handling of ' '...' ,It,['case'],['no'],['special'],,,,
'Ugh well that sucks.' ,that,['NA'],['no'],['NA'],,,,
'This is bad.' ,this,['NA'],['no'],['NA'],,,,
'Damn maven!' ,maven,['maven'],['si'],['damn'],,,,
'Original edited patch was messed up... stupid sed!' ,sed,['patch'],['no'],['original'],,,,
