myunique_id,myanger_direction,mydeveloper_comment,Opinions
1020231_2,oth,'Pull it back in if you think different.' ,
654180_1,oth,'Sorry I guess I am against 'never computing this shit'... because you guys think returning NaN is ok.' ,
2181040_1,oth,'I do not have to ensure that the classloader knows groovy classes you must do that.' ,
711843_6,oth,'Maybe only one of us should play lawyer and the other one play engineer.' ,other 
2148299_4,oth,'Also your username was stupidly named and confusing so I deleted it and created a new one more appropriate.' ,
2259612_1,oth,'fuck u' ,
1429235_1,oth,'damn this was assigned to you since months.' ,
685936_2,oth,'Where on earth are you anyway?' ,
1078380_2,oth,'Who made this stupid rule?' ,stupid 
2194394_1,oth,'who the hell starts using our jira for typing lessons ?!?' ,
1569844_1,oth,'Just to clarify... you made the DTPE handle exceptions the same way as CassandraDaemon by updating it to use NBHS instead of CSLS... Did you just tell me to go fuck myself?' ,
331800_3,oth,'They do not vote theywhine that something or everything sucks.' ,
579540_1,oth,'Oleg please accept that my 'logical' is different from your 'logical'.' ,
2014921_2,oth,'What the hell are you waiting for ?' ,
796834_9,oth,'Unfortunately in these days where everyone that can put a CDthe right way up in a drive is a Linux/Unix/Windows/Internet Expert this has become pretty common.' ,right 
1832159_1,oth,'Why the hell do they deliver Duration if they cannot instantiate it -/' ,
1462478_4,oth,'Then you are pretty well screwed.' ,
706069_21,oth,'But please do not say that my reasoning is bad because it is not.' ,
711843_8,oth,'Then to make matters worse since the mid-1990 is I have been offering pro bono advice to non-profit foundations whose members insult me regularly and assume I am an amateur. ' ,non-profit 
1014870_9,oth,'You are messing down deep below hbase in dfs.' ,
654182_1,oth,'who the fuck is asking for scores but not the max score and why does their insanely specialized use case justify all these booleans on a central lucene class.' ,
711843_9,oth,'Someone but I am not sure who owes me a public apology here. /Larry ' ,public 
571429_3,oth,'Do nothing Are you serious about that?' ,
985359_2,self,'I should have been very careful before doing this.' ,
1398734_5,self,'I have stupidly deleted the original test dir but judging from the suite is output files no output was created after 3 1/2 hours.' ,original 
987223_1,self,'Matt... I am an idiot I used the wrong patch. Sigh.' ,wrong 
2120525_2,self,'Please close as this is just me being stupid.' ,
797123_1,self,'I am an idiot.' ,
2096621_2,self,'I am an idiot... there is nothing wrong with the readme.txt.' ,wrong 
155457_1,self,'Ok here is a patch that works. I was stupid enough not to see it...' ,
1029542_1,self,'i suck.' ,
798939_1,self,'Shit I missed a cast.' ,
1769700_1,self,'What a stupid name I chose for that object... -' ,stupid 
2495101_1,self,'I am an idiot this was a dupe of GUVNOR-84' ,
795658_1,self,'oh ...geez I am an idiot.' ,
520683_2,self,'I did it wrong this time.' ,
