seqn.,myunique_id,myanger_direction,Target,mydeveloper_comment,R11,R12,R31,R32,R51,R52,POS,DEP,Targets
1,1020231_2,oth,you ,'Pull it back in if you think different.',,,,,,you ,"[(""'"", '``'), ('Pull', 'VB'), ('it', 'PRP'), ('back', 'RB'), ('in', 'IN'), ('if', 'IN'), ('you', 'PRP'), ('think', 'VBP'), ('different', 'JJ'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 2), ('punct', 2, 1), ('obj', 2, 3), ('advmod', 2, 4), ('case', 4, 5), ('mark', 8, 6), ('nsubj', 8, 7), ('advcl', 2, 8), ('xcomp', 8, 9), ('punct', 2, 10), ('punct', 2, 11)]",
2,654180_1,oth,you guys,'Sorry I guess I am against 'never computing this shit'... because you guys think returning NaN is ok.',,,,,you ,I ,"[(""'"", '``'), ('Sorry', 'UH'), ('I', 'PRP'), ('guess', 'VBP'), ('I', 'PRP'), ('am', 'VBP'), ('against', 'IN'), (""'"", '``'), ('never', 'RB'), ('computing', 'VBG'), ('this', 'DT'), ('shit', 'NN'), (""'"", ""''""), ('...', ':'), ('because', 'IN'), ('you', 'PRP'), ('guys', 'NNS'), ('think', 'VBP'), ('returning', 'VBG'), ('NaN', 'NNP'), ('is', 'VBZ'), ('ok', 'JJ'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 10), ('punct', 10, 1), ('discourse', 10, 2), ('nsubj', 4, 3), ('parataxis', 10, 4), ('nsubj', 10, 5), ('cop', 10, 6), ('case', 10, 7), ('punct', 10, 8), ('advmod', 10, 9), ('det', 12, 11), ('obj', 10, 12), ('punct', 10, 13), ('punct', 10, 14), ('mark', 18, 15), ('dep', 17, 16), ('nsubj', 18, 17), ('advcl', 10, 18), ('amod', 20, 19), ('nsubj', 22, 20), ('cop', 22, 21), ('ccomp', 18, 22), ('punct', 10, 23), ('punct', 10, 24)]",you
3,2181040_1,oth,you,'I do not have to ensure that the classloader knows groovy classes you must do that.',,,,,,you ,"[(""'"", '``'), ('I', 'PRP'), ('do', 'VBP'), ('not', 'RB'), ('have', 'VB'), ('to', 'TO'), ('ensure', 'VB'), ('that', 'IN'), ('the', 'DT'), ('classloader', 'NN'), ('knows', 'VBZ'), ('groovy', 'JJ'), ('classes', 'NNS'), ('you', 'PRP'), ('must', 'MD'), ('do', 'VB'), ('that', 'DT'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 1), ('nsubj', 5, 2), ('aux', 5, 3), ('advmod', 5, 4), ('dep', 1, 5), ('mark', 7, 6), ('ccomp', 5, 7), ('mark', 11, 8), ('det', 10, 9), ('nsubj', 11, 10), ('ccomp', 7, 11), ('amod', 13, 12), ('obj', 11, 13), ('nsubj', 16, 14), ('aux', 16, 15), ('parataxis', 5, 16), ('obj', 16, 17), ('punct', 5, 18), ('punct', 5, 19)]",you I
4,711843_6,oth,you (implicit)/one of us,'Maybe only one of us should play lawyer and the other one play engineer.',,,,,,,"[(""'"", '``'), ('Maybe', 'RB'), ('only', 'RB'), ('one', 'CD'), ('of', 'IN'), ('us', 'PRP'), ('should', 'MD'), ('play', 'VB'), ('lawyer', 'NN'), ('and', 'CC'), ('the', 'DT'), ('other', 'JJ'), ('one', 'CD'), ('play', 'NN'), ('engineer', 'NN'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 8), ('punct', 8, 1), ('advmod', 8, 2), ('advmod', 4, 3), ('nsubj', 8, 4), ('case', 6, 5), ('nmod', 4, 6), ('aux', 8, 7), ('obj', 8, 9), ('cc', 15, 10), ('det', 15, 11), ('amod', 15, 12), ('nummod', 15, 13), ('compound', 15, 14), ('conj', 9, 15), ('punct', 8, 16), ('punct', 8, 17)]",you 
5,2148299_4,oth,you (implicit) ,'Also your username was stupidly named and confusing so I deleted it and created a new one more appropriate.',,,,,I ,,"[(""'"", '``'), ('Also', 'RB'), ('your', 'PRP$'), ('username', 'NN'), ('was', 'VBD'), ('stupidly', 'RB'), ('named', 'VBN'), ('and', 'CC'), ('confusing', 'VBG'), ('so', 'RB'), ('I', 'PRP'), ('deleted', 'VBD'), ('it', 'PRP'), ('and', 'CC'), ('created', 'VBD'), ('a', 'DT'), ('new', 'JJ'), ('one', 'CD'), ('more', 'JJR'), ('appropriate', 'JJ'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 7), ('punct', 7, 1), ('advmod', 7, 2), ('nmod:poss', 4, 3), ('nsubj:pass', 7, 4), ('aux:pass', 7, 5), ('advmod', 7, 6), ('cc', 9, 8), ('conj', 7, 9), ('advmod', 12, 10), ('nsubj', 12, 11), ('parataxis', 7, 12), ('obj', 12, 13), ('cc', 15, 14), ('conj', 12, 15), ('det', 20, 16), ('amod', 20, 17), ('nummod', 20, 18), ('advmod', 20, 19), ('obj', 15, 20), ('punct', 7, 21), ('punct', 7, 22)]",
6,2259612_1,oth,you (u),'fuck u',,,,,,,"[(""'"", '``'), ('fuck', 'VB'), ('u', 'PRP'), (""'"", ""''"")]","[('ROOT', 0, 2), ('punct', 2, 1), ('obj', 2, 3), ('punct', 2, 4)]",I 
7,1429235_1,oth,you,'damn this was assigned to you since months.',,,,,,,"[(""'"", '``'), ('damn', 'VB'), ('this', 'DT'), ('was', 'VBD'), ('assigned', 'VBN'), ('to', 'IN'), ('you', 'PRP'), ('since', 'IN'), ('months', 'NNS'), ('.', '.'), (""'"", ""''"")]","[('ROOT', 0, 1), ('dep', 5, 2), ('nsubj:pass', 5, 3), ('aux:pass', 5, 4), ('dep', 1, 5), ('case', 7, 6), ('obl', 5, 7), ('case', 9, 8), ('obl', 5, 9), ('punct', 5, 10), ('punct', 5, 11)]",
8,685936_2,oth,you,'Where on earth are you anyway?',,,,,,,"[(""'"", '``'), ('Where', 'WRB'), ('on', 'IN'), ('earth', 'NN'), ('are', 'VBP'), ('you', 'PRP'), ('anyway', 'RB'), ('?', '.'), (""'"", ""''"")]","[('ROOT', 0, 5), ('punct', 5, 1), ('advmod', 5, 2), ('case', 4, 3), ('obl', 2, 4), ('nsubj', 5, 6), ('advmod', 5, 7), ('punct', 5, 8), ('punct', 5, 9)]",
9,1078380_2,oth,who,'Who made this stupid rule?',,,,,Who ,,"[(""'"", '``'), ('Who', 'WP'), ('made', 'VBD'), ('this', 'DT'), ('stupid', 'JJ'), ('rule', 'NN'), ('?', '.'), (""'"", ""''"")]","[('ROOT', 0, 3), ('punct', 3, 1), ('nsubj', 3, 2), ('det', 6, 4), ('amod', 6, 5), ('obj', 3, 6), ('punct', 3, 7), ('punct', 3, 8)]",
10,2194394_1,oth,who,'who the hell starts using our jira for typing lessons ?!?',,,,,,,"[(""'"", '``'), ('who', 'WP'), ('the', 'DT'), ('hell', 'NN'), ('starts', 'VBZ'), ('using', 'VBG'), ('our', 'PRP$'), ('jira', 'NN'), ('for', 'IN'), ('typing', 'VBG'), ('lessons', 'NNS'), ('?!?', '.'), (""'"", ""''"")]","[('ROOT', 0, 5), ('punct', 5, 1), ('obj', 5, 2), ('det', 4, 3), ('nsubj', 5, 4), ('dep', 5, 6), ('nmod:poss', 8, 7), ('obj', 6, 8), ('case', 11, 9), ('amod', 11, 10), ('obl', 6, 11), ('punct', 5, 12), ('punct', 5, 13)]",Who 
