myunique_id,myanger_direction,mydeveloper_comment
315366_1,ob,'I agree....That is hugely annoying and has stung me several times as well.'
199579_2,ob,'As a long time QE quality engineering person I really hate to close bugs without a good reason for the resolution.' 
252900_7,ob,'It's pretty annoying to read these descriptors.' 
244308_1,ob,'Completely agree with Jeremy I've just run into this and it's incredibly annoying from a user's perspective.' 
296671_6,ob,'tikaconfig.xml is horrible to us it would be good to pass a METAINF like list to the AutoDetectParser I implemented that for another nonsolr project we use at PANGAEA where i used the METAINF list of Tika deleted all unused parsers and passed them somehow to TIKA.'  
240203_2,ob,'Some annoying Hadoop configuration.' 
243030_3,ob,'0002 is pretty ugly but I'm posting it rather than leaving a completely broken patch.' 
196975_2,ob,'The fact that it gets converted to n when read back in is just plain ugly.' 
290774_2,ob,'Very annoying the functionality to display an customized errorpage seems quite basic.' 
218144_2,self,'Now I feel dumb.' 
234448_1,ob,'You are right. Having two types is very very annoying.' 
205859_1,ob,'You're right it is very annoying to see.' 
214960_2,ob,'IE 5.56.0 still throws some really disturbing error messages which I could not yet resolve. ' 
308875_1,ob,'As expected it was a stupid typo please don't look carefully.' 
313330_2,ob,'I don't require the whitespace for rendering anywhere at least that I know of this isn't going to be a fun way to find out but just about any other debugging issue is going to be terrible.' 
249811_1,ob,'I really hate discussing anything using this stupid tool.' 
291115_2,ob,'This is really annoying if UIs are created generically.' 
252084_10,ob,'This is also ugly.' 
235355_4,ob,'i think its really stupid that visitparents visits the current component so 1 on just updating the javadocs.' 
312995_1,ob,'Not the only ones who've hit this nasty. http.dev.rubyonrails.orgticket7895' 
283323_2,ob,'This is an annoying restriction  but we shouldn't break it 87 10 +92 6   return }  If the encoding is already right we can bail if encoding.equals_encoding  return  Don't call super.setCharacterEncoding it's too late  and we'll get a warning _encoding = encoding however since the WARNING is without any harm we could simple keep the current behavior...' 
315595_2,ob,'I run into the same problem every now and then and it's always annoying to work around.' 
252278_1,ob,'The buttons are quite ugly.' 
212037_10,self,'so terrible my English is...' 
293153_3,ob,'At the moment the 2nd fix is active because the 1st one causes ugly flickering. ' 
209728_7,ob,'This is an annoying issue meaning we have to manually specify how to convert each set of <s.select> list data.' 
289243_3,ob,'The way the JSP tag overloads the 'type' attribute to allow specifying an instance is ugly.' 
293322_2,ob,'But ... this solution is really ugly . The flickering at the and of the string.' 
294350_1,ob,'This is indeed a annoying bug I've replicated it locally in a test case.' 
194909_1,self,'Yeap stupid little me should check the FAQ now and then ..'  
316850_1,ob,'I've been doing a lot of experimentation with Maven and have come to hate it.' 
301966_7,ob,'What is really annoying is that I get warnings at generated lines like these. {code} public override int GetHashCode {  int hashcode = 0  unchecked {   hashcode = hashcode 397 .Value == null .' 
207730_3,ob,'I think the file upload docs should point out this nasty nasty side effect.' 
195734_3,ob,'And yeah it is annoying in scripts . . ' 
214188_2,ob,'<s.radio theme='simple' name='selectedOption' list='{1.''}'> generates <input name='selectedOption' id='selectedOption1' checked='checked' value='1' type='radio'><label for='selectedOption1'><label> it still writes that empty label tag which is annoying.' 
